"id","comment","category","enabled","constant","selective","keys","position","depth","insertionOrder","characters","ejs","decorators","getvarPaths","relativePath"
"175","秘境详情：蓬莱仙岛","叙事与生成协议","true","false","true","蓬莱仙岛|甲子仙源|归墟之眼|澪之果|冥煞玄蛇|渊涯谷|仙界碎片","after_char","4","100","686","false","","","世界书\秘境详情：蓬莱仙岛.txt"
"176","道心值设定","叙事与生成协议","true","true","false","","after_char","3","100","847","false","","","世界书\道心值设定.txt"
"177","地点详情：幽林血沼","叙事与生成协议","true","false","true","幽林血沼|蒲灵果|玉髓芝|筑基秘境|险地","after_char","4","100","631","false","","","世界书\地点详情：幽林血沼.txt"
"178","地点详情：庚金剑冢","叙事与生成协议","true","false","true","庚金剑冢|金灵玉髓|上古遗址|凝金丹秘境","after_char","4","100","671","false","","","世界书\地点详情：庚金剑冢.txt"
"179","地点详情：琉璃净月宫","叙事与生成协议","true","false","true","琉璃净月宫|九曲灵参|造化青莲莲子|化婴丹秘境","after_char","4","100","634","false","","","世界书\地点详情：琉璃净月宫.txt"
"180","地点详情：五行碎层","叙事与生成协议","true","false","true","五行碎层|五行灵髓|虚空花|神游丹秘境|次空间","after_char","4","100","657","false","","","世界书\地点详情：五行碎层.txt"
"181","地点详情：无垠沙海镜像","叙事与生成协议","true","false","true","无垠沙海镜像|空灵晶液|镜像世界|破元丹秘境","after_char","4","100","634","false","","","世界书\地点详情：无垠沙海镜像.txt"
"182","地点详情：陨圣乱墟","叙事与生成协议","true","false","true","陨圣乱墟|三元归一果|远古战场|合体丹秘境","after_char","4","100","615","false","","","世界书\地点详情：陨圣乱墟.txt"
"183","地点详情：黄泉冥河引","叙事与生成协议","true","false","true","黄泉冥河引|九转还魂草|冥界边缘|虚灵丹秘境","after_char","4","100","611","false","","","世界书\地点详情：黄泉冥河引.txt"
"184","地点详情：天渊起源地","叙事与生成协议","true","false","true","天渊起源地|玄黄之气|世界本源|渡劫秘境|飞升","after_char","4","100","583","false","","","世界书\地点详情：天渊起源地.txt"
"185","种族实力对应","叙事与生成协议","true","true","false","","before_char","4","100","398","false","","","世界书\种族实力对应.txt"
"186","妖族","境界与力量体系","true","true","false","","before_char","4","100","273","false","","","世界书\妖族.yaml"
"187","详细人物:秦浅月","人物与NPC","true","false","true","秦浅月|魂主","after_char","4","100","858","false","","","世界书\详细人物_秦浅月.txt"
"188","势力详情：昆仑道门","境界与力量体系","true","false","true","昆仑道门|昆仑神山","after_char","4","100","343","false","","","世界书\势力详情：昆仑道门.yaml"
"189","详细势力:万法宗","境界与力量体系","true","false","true","万法宗|万法天仪","after_char","4","100","357","false","","","世界书\详细势力_万法宗.yaml"
"190","详细人物:许千寻","人物与NPC","true","false","true","许千寻|万法宗宗主","after_char","4","100","699","false","","","世界书\详细人物_许千寻.txt"
"191","详细人物:玄清","人物与NPC","true","false","true","玄清|万法宗传法大长老","after_char","4","100","782","false","","","世界书\详细人物_玄清.txt"
"192","详细人物:柳依依","人物与NPC","true","false","true","明心守殿灯|灯影守御体|天庭掌灯小仙官|柳依依","after_char","4","100","368","false","","","世界书\详细人物_柳依依.txt"
"193","详细人物:顾长枫","人物与NPC","true","false","true","顾长枫|玉灵宫宫主|万法灵体","after_char","4","100","382","false","","","世界书\详细人物_顾长枫.txt"
"194","详细人物:萧玉寒","人物与NPC","true","false","true","萧玉寒|玉灵宫传功长老|琉璃冰骨|万古玄冰刺","after_char","4","100","364","false","","","世界书\详细人物_萧玉寒.txt"
"195","详细人物:苏清禾","人物与NPC","true","false","true","苏清禾|清心灵体|玉灵宫大师姐","after_char","4","100","219","false","","","世界书\详细人物_苏清禾.txt"
"196","详细人物:云糯糯","人物与NPC","true","false","true","云糯糯|灵植亲和体|玉灵宫小师妹","after_char","4","100","367","false","","","世界书\详细人物_云糯糯.txt"
"197","详细人物:苏绾影","人物与NPC","true","false","true","苏绾影|极乐宗主|九魅天香体|极乐销魂锁","after_char","4","100","362","false","","","世界书\详细人物_苏绾影.txt"
"198","详细人物:凌阮阮","人物与NPC","true","false","true","千丝绕指柔|凌阮阮|极乐圣女","after_char","4","100","361","false","","","世界书\详细人物_凌阮阮.txt"
"199","详细人物:叶倾心","人物与NPC","true","false","true","劫灭煞体|厄难小皮鞭|极乐宗刑罚长老|叶倾心","after_char","4","100","345","false","","","世界书\详细人物_叶倾心.txt"
"200","详细人物:汐怡","人物与NPC","true","false","true","极乐宗大师姐|柔骨魅体|相思红绸|汐怡","after_char","4","100","335","false","","","世界书\详细人物_汐怡.txt"
"201","详细人物:桃夭夭","人物与NPC","true","false","true","桃夭夭|极乐宗小师妹|桃花幻心体|绯桃幻绫","after_char","4","100","324","false","","","世界书\详细人物_桃夭夭.txt"
"202","详细人物:顾幽梵","人物与NPC","true","false","true","顾幽梵|阴煞宗主|纯阴煞体|大慈大悲亿魂幡","after_char","4","100","349","false","","","世界书\详细人物_顾幽梵.txt"
"203","详细人物:苏珞刹","人物与NPC","true","false","true","苏珞刹|阴煞圣女|天生幽冥重瞳|藏尸百厄棺","after_char","4","100","385","false","","","世界书\详细人物_苏珞刹.txt"
"204","详细人物:霖仙怡","人物与NPC","true","false","true","霖仙怡|镇宗长老|修罗战尸之身|裂天血月轮","after_char","4","100","371","false","","","世界书\详细人物_霖仙怡.txt"
"205","详细人物:冥霜儿","人物与NPC","true","false","true","冥霜儿|阴煞宗外门大师姐|阴煞控魂体|幽影骨鞭","after_char","4","100","330","false","","","世界书\详细人物_冥霜儿.txt"
"206","详细人物:楚玉璃","人物与NPC","true","false","true","楚玉璃|阴煞宗小师妹|阴灵匿形体|碎影布偶","after_char","4","100","357","false","","","世界书\详细人物_楚玉璃.txt"
"207","详细人物:白玖璃","人物与NPC","true","false","true","九幽冥火|妖族圣主|白玖璃","after_char","4","100","397","false","","","世界书\详细人物_白玖璃.txt"
"208","详细人物:青木璇","人物与NPC","true","false","true","青木璇|圣地大祭司|万木本源之气","after_char","4","100","349","false","","","世界书\详细人物_青木璇.txt"
"209","详细人物:璃杏","人物与NPC","true","false","true","传信龙鳞玉|龙炎幻形体|真龙族小师姐|璃杏","after_char","4","100","334","false","","","世界书\详细人物_璃杏.txt"
"210","详细人物:杜月菲","人物与NPC","true","false","true","杜月菲|灵植小妖师妹|草木生机体|青芽灵穗","after_char","4","100","330","false","","","世界书\详细人物_杜月菲.txt"
"211","详细人物:慕容无尘","人物与NPC","true","false","true","仙族族长|慕容无尘|无尘","after_char","4","100","286","false","","","世界书\详细人物_慕容无尘.txt"
"212","详细人物:慕容初袖","人物与NPC","true","false","true","慕容初袖|七窍玲珑心|初袖","after_char","4","100","334","false","","","世界书\详细人物_慕容初袖.txt"
"213","详细人物:慕容落羽","人物与NPC","true","false","true","风行隐灵仙体|慕容落羽|落羽","after_char","4","100","344","false","","","世界书\详细人物_慕容落羽.txt"
"214","详细人物:萌梦","人物与NPC","true","false","true","萌梦|纯净仙元体|流萤光珠","after_char","4","100","322","false","","","世界书\详细人物_萌梦.txt"
"215","详细人物:钰仙儿","人物与NPC","true","false","true","龙脉女祖|太虚真龙躯|钰仙儿","after_char","4","100","359","false","","","世界书\详细人物_钰仙儿.txt"
"216","详细人物:青渝","人物与NPC","true","false","true","焚天翎羽|涅槃神火体|凤血帝女|青渝","after_char","4","100","322","false","","","世界书\详细人物_青渝.txt"
"217","详细人物:齐天麟","人物与NPC","true","false","true","五德无双瑞体|麒麟圣子|齐天麟","after_char","4","100","302","false","","","世界书\详细人物_齐天麟.txt"
"218","详细人物:风梧音","人物与NPC","true","false","true","祖禽遗脉|风梧音|裂风本原道基","after_char","4","100","319","false","","","世界书\详细人物_风梧音.txt"
"219","详细人物:秦汐雅","人物与NPC","true","false","true","沧澜侍龙玉|水脉侍龙体|秦汐雅","after_char","4","100","336","false","","","世界书\详细人物_秦汐雅.txt"
"220","详细人物:凌天辰","人物与NPC","true","false","true","不灭太古王体|凌天辰|王族大帝","after_char","4","100","239","false","","","世界书\详细人物_凌天辰.txt"
"221","详细人物:凌紫嫣","人物与NPC","true","false","true","凌紫嫣|帝道衡仪|太古王族祖血|王族帝女","after_char","4","100","347","false","","","世界书\详细人物_凌紫嫣.txt"
"222","详细人物:叶婷","人物与NPC","true","false","true","叶婷|绝对暗杀","after_char","4","100","315","false","","","世界书\详细人物_叶婷.txt"
"223","修炼突破判定","人物与NPC","true","false","true","突破|闭关|冲击境界","after_char","4","100","162","false","","","世界书\修炼突破判定.txt"
"224","详细人物:舞弦琴","人物与NPC","true","false","true","舞弦琴","after_char","4","100","722","false","","","世界书\详细人物_舞弦琴.txt"
"225","法则劫","人物与NPC","true","false","true","法则劫","after_char","4","100","227","false","","","世界书\法则劫.txt"
"226","仙界宗门生成","叙事与生成协议","false","true","false","","before_char","4","100","825","false","","","世界书\仙界宗门生成.txt"
"227","[mvu_update]","MVU与变量协议","true","true","false","","after_char","0","200","7564","false","","","世界书\[mvu_update].txt"
"228","变量列表","MVU与变量协议","true","true","false","","after_char","0","200","97","false","","",""
"229","[mvu_update]变量输出格式","MVU与变量协议","true","true","false","","after_char","0","200","3768","false","","","世界书\[mvu_update]变量输出格式.yaml"
"230","[mvu_update]变量输出格式强调","MVU与变量协议","false","true","false","","after_char","0","200","159","false","","","世界书\[mvu_update]变量输出格式强调.yaml"
"231","[initvar] 初始","MVU与变量协议","false","true","false","","before_char","4","100","430","false","","","世界书\[initvar] 初始.yaml"
"232","详细人物：星宿","人物与NPC","true","false","true","星宿|星神慧瞳|三相星界|周天星斗大阵|智慧仙珠|宿命天盘|监天星塔","after_char","4","100","629","false","","","世界书\详细人物：星宿.txt"
"233","详细人物：红莲","人物与NPC","true","false","true","红莲|秘影长暗火|木灵生息火|红莲本心火","after_char","4","100","818","false","","","世界书\详细人物：红莲.txt"
"234","半步超脱","叙事与生成协议","true","false","true","半步超脱|半步超脱境","after_char","4","100","903","false","","","世界书\半步超脱.txt"
"235","详细人物：南可熙","人物与NPC","true","false","true","云上瑶池理事|南可熙","after_char","4","100","1097","false","","","世界书\详细人物：南可熙.txt"
"236","详细人物：凤灵儿","人物与NPC","true","false","true","星道宗圣女|凤灵儿","after_char","4","100","898","false","","","世界书\详细人物：凤灵儿.txt"
"237","详细人物：公孙清","人物与NPC","true","false","true","公孙清","after_char","4","100","849","false","","","世界书\详细人物：公孙清.txt"
"238","势力详细：星道宗","境界与力量体系","true","false","true","星道宗|摘星悬岛","after_char","4","100","410","false","","","世界书\势力详细：星道宗.yaml"
"239","丹器体系","叙事与生成协议","true","false","true","炼丹师|炼丹|炼器|炼制|炼器师","after_char","4","100","945","false","","","世界书\丹器体系.yaml"
"240","势力详细:大雷音寺","境界与力量体系","true","false","true","大雷音寺","after_char","4","100","334","false","","","世界书\势力详细_大雷音寺.yaml"
"241","人物详情：魏喑","人物与NPC","true","false","true","魏喑|人道盟","after_char","4","100","649","false","","","世界书\人物详情：魏喑.txt"
"242","势力详情:五色孔雀族","势力与组织","true","false","true","五色孔雀|五色谷","after_char","4","100","332","false","","","世界书\势力详情_五色孔雀族.yaml"
"243","地点详情:西漠佛国","势力与组织","true","false","true","西漠佛国|西漠|佛国","after_char","4","100","620","false","","","世界书\地点详情_西漠佛国.yaml"
"244","势力详情:柳蛇族","境界与力量体系","true","false","true","柳蛇族","after_char","4","100","797","false","","","世界书\势力详情_柳蛇族.yaml"
"245","势力详情:湮丹宗","境界与力量体系","true","false","true","湮丹宗","after_char","4","100","361","false","","","世界书\势力详情_湮丹宗.yaml"
"246","势力详情:灵墟宗","境界与力量体系","true","false","true","灵墟宗","after_char","4","100","335","false","","","世界书\势力详情_灵墟宗.yaml"
"247","势力详情:青玉宗","境界与力量体系","true","false","true","青玉宗","after_char","4","100","313","false","","","世界书\势力详情_青玉宗.yaml"
"248","势力详情:符韵门","境界与力量体系","true","false","true","符韵门","after_char","4","100","328","false","","","世界书\势力详情_符韵门.yaml"
"249","势力详情:阵天宗","境界与力量体系","true","false","true","阵天宗","after_char","4","100","330","false","","","世界书\势力详情_阵天宗.yaml"
"250","势力详情：斩仙盟","境界与力量体系","true","false","true","斩仙盟","after_char","4","100","317","false","","","世界书\势力详情：斩仙盟.yaml"
"251","人物详情：乔梦玉","人物与NPC","true","false","true","阵天宗宗主|乔梦玉","after_char","4","100","638","false","","","世界书\人物详情：乔梦玉.txt"
"252","人物详情：元容","叙事与生成协议","true","false","true","元容|符韵门门主","after_char","4","100","607","false","","","世界书\人物详情：元容.txt"
"253","人物详情：玄璃","人物与NPC","true","false","true","青玉宗宗主|玄璃","after_char","4","100","660","false","","","世界书\人物详情：玄璃.txt"
"254","人物详情：阳宇","人物与NPC","true","false","true","阳宇|灵墟宗宗主","after_char","4","100","672","false","","","世界书\人物详情：阳宇.txt"
"255","人物详情：林寒绾","人物与NPC","true","false","true","湮丹宗宗主|林寒绾","after_char","4","100","741","false","","","世界书\人物详情：林寒绾.txt"
"256","人物详情：朱离","人物与NPC","true","false","true","湮丹宗圣女|朱离","after_char","4","100","829","false","","","世界书\人物详情：朱离.txt"
"257","人物详情：侯景","人物与NPC","true","false","true","侯景|太尉","after_char","4","100","414","false","","","世界书\人物详情：侯景.txt"
"258","长孙镜华","人物与NPC","true","false","true","长孙镜华","after_char","4","100","479","false","","","世界书\长孙镜华.txt"
"259","人物详情：柳青螭","叙事与生成协议","true","false","true","柳青螭","after_char","4","100","709","false","","","世界书\人物详情：柳青螭.txt"
"260","人物详情：希夷","人物与NPC","true","false","true","天机阁阁主|希夷","after_char","4","100","845","false","","","世界书\人物详情：希夷.txt"
"261","人物详情：辟易川","人物与NPC","true","false","true","辟易川","after_char","4","100","788","false","","","世界书\人物详情：辟易川.txt"
"262","人物详情：欧阳灵","人物与NPC","true","false","true","欧阳灵","after_char","4","100","437","false","","","世界书\人物详情：欧阳灵.txt"
"263","人物详情：黑姬结灯","人物与NPC","true","false","true","符韵门圣女|黑姬结灯","after_char","4","100","781","false","","","世界书\人物详情：黑姬结灯.yaml"
"264","人物详情：李未晞","人物与NPC","true","false","true","李未晞|云上瑶池外务执事","after_char","4","100","816","false","","","世界书\人物详情：李未晞.txt"
"265","人物详情：阴丽华","人物与NPC","true","false","true","圣德太后|大周仙朝太后|阴丽华","after_char","4","100","956","false","","","世界书\人物详情：阴丽华.txt"
"266","人物详情：九歌","人物与NPC","true","false","true","九歌","after_char","4","100","877","false","","","世界书\人物详情：九歌.txt"
"267","人物详情：晏青","人物与NPC","true","false","true","晏青","after_char","4","100","323","false","","","世界书\人物详情：晏青.txt"
"268","人物详情：小D","人物与NPC","true","false","true","小D","after_char","4","100","622","false","","","世界书\人物详情：小D.yaml"
"269","人物详情：白祈昼","叙事与生成协议","true","false","true","阵天宗长老|白祈昼","after_char","4","100","864","false","","","世界书\人物详情：白祈昼.txt"
"270","玄天界宗门体系","叙事与生成协议","false","true","false","","before_char","4","100","2271","false","","","世界书\玄天界宗门体系.txt"
"271","人物详情：璃宫花火","人物与NPC","true","false","true","璃宫花火","after_char","4","100","860","false","","","世界书\人物详情：璃宫花火.yaml"
"272","人物详情：紫澪","叙事与生成协议","true","false","true","冥煞玄蛇|紫澪|冥煞噬魂玄经","after_char","4","100","772","false","","","世界书\人物详情：紫澪.txt"
"273","势力详情:万宝楼","境界与力量体系","true","false","true","万宝楼|商会","after_char","4","100","555","false","","","世界书\势力详情_万宝楼.yaml"
"274","势力详情:黑金阁","势力与组织","true","false","true","黑金阁|黑市","after_char","4","100","528","false","","","世界书\势力详情_黑金阁.yaml"
"275","NPC人物修行","人物与NPC","true","true","false","","before_char","4","100","326","false","","","世界书\NPC人物修行.yaml"
"276","人物详情:金玉满","叙事与生成协议","true","false","true","黑金之主|黑金阁阁主|金玉满","after_char","4","100","894","false","","","世界书\人物详情_金玉满.txt"
"277","人物详情:小翠","人物与NPC","true","false","true","小翠","after_char","4","100","574","false","","","世界书\人物详情_小翠.yaml"
"278","人物详情:万金柝","人物与NPC","true","false","true","万宝楼总楼主|万金柝","after_char","4","100","578","false","","","世界书\人物详情_万金柝.yaml"
"279","人物详情:万璇玑","人物与NPC","true","false","true","万宝楼大小姐|万璇玑","after_char","4","100","664","false","","","世界书\人物详情_万璇玑.yaml"
"280","人物详情:叶焚渊","人物与NPC","true","false","true","叶焚渊","after_char","4","100","805","false","","","世界书\人物详情_叶焚渊.yaml"
"281","人物详情:显宝","叙事与生成协议","true","false","true","小显示|显宝","after_char","4","100","1118","false","","","世界书\人物详情_显宝.txt"
"282","人物详情:海伊","人物与NPC","true","false","true","海伊","after_char","4","100","407","false","","","世界书\人物详情_海伊.yaml"
"283","人物详情:柳舞蝶","人物与NPC","true","false","true","柳舞蝶","after_char","4","100","528","false","","","世界书\人物详情_柳舞蝶.txt"
"284","人物详情：白疏影","人物与NPC","true","false","true","白疏影","after_char","4","100","900","false","","","世界书\人物详情：白疏影.txt"
"285","玄天界动态人物相遇","叙事与生成协议","true","true","true","坊市|客栈|拍卖会|街道|秘境|出门|闲逛|探索|城池|荒野|荒原|城镇|城池|游历|穿行|落脚|游历|寻觅|猎杀|历练|误入|遗迹|远遁|战场","after_char","2","10","906","false","","","世界书\玄天界动态人物相遇.txt"
"286","仙界动态人物相遇","叙事与生成协议","false","true","true","坊市|客栈|街道|秘境|闲逛|仙界|天庭|瑶池|仙宫|仙域|仙市|飞升","after_char","2","10","1039","false","","","世界书\仙界动态人物相遇.txt"
"287","人物详情：李溯","人物与NPC","true","false","true","李溯","after_char","4","100","725","false","","","世界书\人物详情：李溯.yaml"
"288","人物详情：百铃","人物与NPC","true","false","true","百铃|黑金阁刺客","after_char","4","100","688","false","","","世界书\人物详情：百铃.yaml"
"289","人物详情：樊月汐","人物与NPC","true","false","true","樊月汐","after_char","4","100","659","false","","","世界书\人物详情：樊月汐.yaml"
"290","人物详情：卡斯蒂利亚_哈布斯堡","人物与NPC","true","false","true","卡斯蒂利亚_哈布斯堡","after_char","4","100","770","false","","","世界书\人物详情：卡斯蒂利亚_哈布斯堡.yaml"
"291","人物详情：君姝","人物与NPC","true","false","true","君姝","after_char","4","100","633","false","","","世界书\人物详情：君姝.txt"
"292","人物详情：代安池","人物与NPC","true","false","true","代安池","after_char","4","100","532","false","","","世界书\人物详情：代安池.yaml"
"293","人物详情：桃幽","人物与NPC","true","false","true","桃幽|桃花宗宗主","after_char","4","100","484","false","","","世界书\人物详情：桃幽.yaml"
"294","人物详情：颜小落","人物与NPC","true","false","true","颜小落|桃花宗红线长老","after_char","4","100","406","false","","","世界书\人物详情：颜小落.yaml"
"295","人物详情：桃夭诺","人物与NPC","true","false","true","桃花宗圣女|桃夭诺","after_char","4","100","387","false","","","世界书\人物详情：桃夭诺.yaml"
"296","人物详情：苏慕渊","人物与NPC","true","false","true","苏慕渊","before_char","4","100","350","false","","","世界书\人物详情：苏慕渊.yaml"
"297","人物详情：姬觅弥","人物与NPC","true","false","true","姬觅弥","after_char","4","100","663","false","","","世界书\人物详情：姬觅弥.txt"
"298","人物详情：燕重微","人物与NPC","true","false","true","燕重微","after_char","4","100","787","false","","","世界书\人物详情：燕重微.yaml"
"299","人物详情：林素铃","叙事与生成协议","true","false","true","林素铃|银铃仙子","after_char","4","100","741","false","","","世界书\人物详情：林素铃.yaml"
"300","人物详情：李铭","叙事与生成协议","true","false","true","李铭","after_char","4","100","866","false","","","世界书\人物详情：李铭.yaml"
"301","人物详情：苏清漪","叙事与生成协议","true","false","true","苏清漪","after_char","4","100","808","false","","","世界书\人物详情：苏清漪.yaml"
"302","势力详情：桃花宗","境界与力量体系","true","false","true","桃花宗","after_char","4","100","560","false","","","世界书\势力详情：桃花宗.txt"
"303","人物详情：姜梦","人物与NPC","true","false","true","姜梦|无我峰峰主","after_char","4","100","597","false","","","世界书\人物详情：姜梦.txt"
"304","人物详情：云初未来","人物与NPC","true","false","true","云初未来","after_char","4","100","473","false","","","世界书\人物详情：云初未来.txt"
"305","人物详情：白倾颜","人物与NPC","true","false","true","白倾颜|戮血门门主|戮血门","after_char","4","100","940","false","","","世界书\人物详情：白倾颜.txt"
"306","人物详情：顾清清","人物与NPC","true","false","true","顾清清","after_char","4","100","729","false","","","世界书\人物详情：顾清清.yaml"
"307","详细：万祀尸皇经","机制、物品与能力","true","false","true","万祀尸皇经","after_char","4","100","115","false","","","世界书\详细：万祀尸皇经.txt"
"308","详细：幽悦神通","境界与力量体系","true","false","true","幽陵锁痕|匠傀观心|玄棺代命|枯朝万傀阵","after_char","4","100","299","false","","","世界书\详细：幽悦神通.txt"
"309","详细：本命天尸·烬璃","境界与力量体系","true","false","true","烬璃|本命天尸·烬璃","after_char","4","100","481","false","","","世界书\详细：本命天尸·烬璃.txt"
"310","人物详情：绯萝","人物与NPC","true","false","true","绯萝","after_char","4","100","718","false","","","世界书\人物详情：绯萝.txt"
"311","人物详情：月珑","人物与NPC","true","false","true","月珑","after_char","4","100","830","false","","","世界书\人物详情：月珑.txt"
"312","人物详情：辛绫","叙事与生成协议","true","false","true","辛绫","after_char","4","100","1044","false","","","世界书\人物详情：辛绫.txt"
"313","人物详情：幽姬","人物与NPC","true","false","true","幽姬","after_char","4","100","999","false","","","世界书\人物详情：幽姬.txt"
"314","人物详情：玄曦","叙事与生成协议","true","false","true","玄曦","after_char","4","100","1014","false","","","世界书\人物详情：玄曦.txt"
"315","人物详情：霜甄","人物与NPC","true","false","true","霜甄","after_char","4","100","817","false","","","世界书\人物详情：霜甄.txt"
"316","人物详情：蜃娆","叙事与生成协议","true","false","true","蜃娆","after_char","4","100","769","false","","","世界书\人物详情：蜃娆.txt"
"317","人物详情：袁战天","人物与NPC","true","false","true","袁战天","after_char","4","100","705","false","","","世界书\人物详情：袁战天.txt"
"318","人物详情：虚渊","人物与NPC","true","false","true","虚渊","after_char","4","100","854","false","","","世界书\人物详情：虚渊.txt"
